"Row.names","beta_opt","kappa_opt","gamma_opt","mu_opt","S0_opt","E0_opt","I0_opt","R0_opt","obj_fn","beta_init","kappa_init","gamma_init","mu_init"
"1",1.20660818200434,0.418011254491548,0.250256189210299,0.462085266208532,0.999983360571633,5.9449638423951e-05,0.00241904649297894,0.00741756856784848,15853.7436687213,0.896697200136259,0.2655086631421,0.37212389963679,0.572853363351896
"10",1.17372177797488,0.343216295952369,0.508564469839113,0.104620385012196,0.0124316930529942,0.176673911344129,0.107614134184524,0.710773949646922,16349.1714888454,0.668466738192365,0.79423986072652,0.107943625887856,0.723710946040228
"100",0.705236366503733,0.393149203693787,0.260980078561626,0.0597512127915869,0.775887351178878,0.0152772539876513,0.0069324939445775,0.210688081377531,16349.9827002476,0.348302052123472,0.659821025794372,0.311772374436259,0.351573409279808
"11",1.35128414981503,0.412707786225929,0.675047559252547,0.120700005323947,0.353709038323742,0.22318961660815,0.42445201008815,4.03458637711022e-05,16342.2992208634,0.411274429643527,0.820946294115856,0.647060193819925,0.78293276228942
"12",0.905031550738852,0.837602120610904,0.518215557060611,0.0758389935741552,0.851665154475822,0.00730784602214474,0.0867052909980517,0.0598432822679391,16332.6203330186,0.553036311641335,0.529719580197707,0.789356231689453,0.023331202333793
"13",1.29514036419501,0.380635182581404,0.343324114087512,0.396869434212304,0.873052332778591,0.0046230637438626,0.0571065569484677,0.0684622527713572,16010.8440568845,0.477230065036565,0.7323137386702,0.692731556482613,0.477619622135535
"14",0.829759528580712,0.443217990136566,0.350888491928074,0.0802228647224255,0.994288899892074,0.00324432183801267,0.00394839281135359,0.00531211664725219,16344.8978125812,0.8612094768323,0.438097107224166,0.244797277031466,0.0706790471449494
"15",1.49482873545442,0.0701188189239772,0.0542792337490589,0.202516660674697,0.931838773620754,0.0330242327882719,0.016555979533163,0.0180395377878463,16321.7690922812,0.0994661601725966,0.31627170718275,0.518634263193235,0.662005076417699
"16",0.890167563653296,0.716731897809264,0.481210610739725,0.0771731770492055,0.920055006383613,0.0203529258138304,0.0531543633572476,0.0120420986371848,16337.9245569444,0.406830187188461,0.912875924259424,0.293603372760117,0.459065726259723
"17",0.895671450397613,0.324381330569557,0.34291794750511,0.0758691573817142,0.758427918712509,0.0142008618096875,0.0890020638044615,0.145050944105305,16347.9964273007,0.332394674187526,0.65087046707049,0.258016780717298,0.478545248275623
"18",1.75741200960829,0.0344999759334412,0.0134506845376313,0.108511367429593,0.901917229863008,0.0628240632059363,0.00128807486853479,0.0434259475835717,16336.9819758653,0.766310670645908,0.0842469143681228,0.875321330036968,0.339072937844321
"19",0.953858868640281,0.424662464238318,0.434276564447459,0.0799939938468809,0.886115145669578,0.0595445428811833,0.0609561808683978,0.00122594630268198,16345.7427917643,0.839440350187942,0.34668348915875,0.333774930797517,0.476351245073602
